iter	RMSE
0	12053.7756
1	11958.14672
2	11873.39903
3	11783.35741
4	11700.47317
5	11617.05564
6	11527.3605
7	11441.66376
8	11356.33946
9	11275.26464
10	11190.94832
11	11113.92553
12	11037.62605
13	10973.858
14	10896.64484
15	10822.79404
16	10747.00858
17	10675.37031
18	10602.26086
19	10529.18868
20	10459.40863
21	10400.26485
22	10333.35384
23	10258.99788
24	10186.11406
25	10120.6363
26	10054.25126
27	9986.44212
28	9921.719033
29	9853.656285
30	9792.167077
31	9726.896365
32	9663.749934
33	9596.743086
34	9532.321602
35	9475.123477
36	9414.859363
37	9350.030715
38	9284.06427
39	9220.96182
40	9155.933526
41	9096.07661
42	9037.25281
43	8977.379757
44	8920.242981
45	8863.734077
46	8806.00407
47	8753.209413
48	8694.88453
49	8640.179954
50	8585.437053
51	8532.048339
52	8480.161043
53	8428.57683
54	8376.472214
55	8326.560275
56	8275.994057
57	8231.829343
58	8183.223323
59	8136.029427
60	8090.230953
61	8045.275547
62	7998.793088
63	7954.316597
64	7908.093285
65	7863.938972
66	7820.930703
67	7777.384969
68	7734.720943
69	7693.8583
70	7653.185696
71	7609.606533
72	7571.096587
73	7527.914024
74	7487.926029
75	7447.028149
76	7403.272466
77	7364.414028
78	7322.95699
79	7285.055909
80	7248.515704
81	7211.972432
82	7176.690296
83	7138.424172
84	7100.595283
85	7065.124447
86	7027.221377
87	6991.126733
88	6960.949357
89	6924.978109
90	6894.94706
91	6859.803766
92	6825.625646
93	6791.839765
94	6760.406851
95	6726.164986
96	6692.405562
97	6663.894167
98	6633.486162
99	6601.453682
100	6569.545908
101	6539.968245
102	6511.850237
103	6479.963157
104	6449.191369
105	6418.304578
106	6386.941881
107	6357.427098
108	6330.617537
109	6305.171326
110	6279.901249
111	6253.023837
112	6228.139408
113	6200.681859
114	6174.531166
115	6146.787422
116	6122.00698
117	6095.629685
118	6070.616683
119	6044.637373
120	6019.698638
121	5997.556162
122	5976.451057
123	5953.690703
124	5931.328517
125	5907.508628
126	5884.337821
127	5863.659911
128	5841.240078
129	5820.955674
130	5800.03639
131	5778.762085
132	5759.024661
133	5738.869236
134	5718.926513
135	5699.436246
136	5679.450613
137	5661.229871
138	5644.970549
139	5625.895291
140	5607.02036
141	5588.877865
142	5569.857152
143	5552.453498
144	5533.355212
145	5514.40624
146	5495.915216
147	5478.297924
148	5462.053833
149	5445.137157
150	5428.641731
151	5413.773333
152	5397.304449
153	5383.402028
154	5368.659378
155	5353.990913
156	5338.869902
157	5324.072734
158	5311.233126
159	5296.069989
160	5280.649957
161	5267.480177
162	5253.709209
163	5239.644266
164	5226.645437
165	5212.813536
166	5199.464198
167	5185.582726
168	5172.147215
169	5158.079067
170	5144.695915
171	5132.643367
172	5120.16378
173	5108.342143
174	5096.107906
175	5083.7313
176	5071.789069
177	5061.620185
178	5050.268857
179	5037.779979
180	5027.143899
181	5017.759239
182	5004.966742
183	4993.88901
184	4981.512992
185	4969.759577
186	4959.708091
187	4949.887651
188	4938.870256
189	4929.427392
190	4920.506224
191	4909.719047
192	4898.406204
193	4888.549058
194	4879.263415
195	4869.488321
196	4860.156055
197	4850.522723
198	4841.49944
199	4832.81049
200	4824.516514
201	4814.920443
202	4806.229852
203	4797.717556
204	4790.53196
205	4782.420526
206	4773.79043
207	4764.601143
208	4757.356129
209	4749.625083
210	4741.617065
211	4733.339678
212	4725.366154
213	4717.732483
214	4710.024085
215	4703.453213
216	4695.270591
217	4688.670938
218	4681.426722
219	4674.628543
220	4667.338864
221	4659.908127
222	4653.159041
223	4646.066329
224	4639.358487
225	4632.836458
226	4625.698352
227	4619.830326
228	4613.577651
229	4607.652182
230	4600.754487
231	4595.197429
232	4589.556503
233	4584.018577
234	4579.22612
235	4573.811897
236	4567.98844
237	4563.17533
238	4557.848539
239	4552.493976
240	4547.328722
241	4542.262935
242	4536.910427
243	4532.758127
244	4527.399784
245	4523.202007
246	4518.418625
247	4513.068981
248	4508.307885
249	4503.220938
250	4498.171235
251	4491.981575
252	4487.676138
253	4482.521237
254	4477.631369
255	4472.535919
256	4468.136364
257	4463.173847
258	4459.150919
259	4453.862903
260	4449.62442
261	4445.036405
262	4440.360735
263	4436.620955
264	4432.1812
265	4427.890194
266	4423.76738
267	4420.750525
268	4416.772224
269	4413.011848
270	4409.693988
271	4405.753482
272	4402.17766
273	4397.869379
274	4394.875912
275	4391.577872
276	4389.630643
277	4386.357034
278	4382.865541
279	4379.73609
280	4376.306221
281	4372.471482
282	4369.274385
283	4366.484214
284	4363.670366
285	4360.482676
286	4356.627409
287	4353.872239
288	4350.428295
289	4347.209316
290	4344.118651
291	4340.394616
292	4336.967156
293	4335.659014
294	4332.93223
295	4330.400129
296	4326.71263
297	4323.251477
298	4319.752312
299	4316.972128
300	4315.119833
301	4311.881098
302	4309.8075
303	4307.47897
304	4306.389502
305	4304.437923
306	4301.34782
307	4298.513084
308	4296.157277
309	4293.136441
310	4290.348471
311	4288.029052
312	4285.928231
313	4283.385846
314	4281.166052
315	4278.544892
316	4275.929972
317	4273.65591
318	4271.894993
319	4269.28538
320	4266.893502
321	4264.827705
322	4262.47322
323	4260.23894
324	4258.576128
325	4256.221425
326	4254.208387
327	4251.894593
328	4249.726769
329	4247.465395
330	4245.071479
331	4242.309615
332	4241.270767
333	4239.657742
334	4238.046669
335	4236.0053
336	4234.285143
337	4232.241255
338	4230.459473
339	4228.494971
340	4226.454529
341	4224.244352
342	4222.607719
343	4220.531332
344	4218.204716
345	4216.432067
346	4214.401594
347	4212.960713
348	4210.449526
349	4208.54775
350	4206.647864
351	4204.863759
352	4202.599251
353	4200.88826
354	4199.380262
355	4197.67659
356	4195.992746
357	4194.318275
358	4192.878706
359	4190.957805
360	4188.910411
361	4187.518793
362	4185.554743
363	4184.265283
364	4182.381175
365	4180.992543
366	4179.339702
367	4178.115045
368	4176.672462
369	4174.971988
370	4173.737829
