iter	Passed	Remaining
0	2	2971
1	4	2245
2	6	2255
3	9	2243
4	12	2430
5	14	2466
6	16	2407
7	18	2345
8	20	2302
9	22	2188
10	24	2242
11	27	2275
12	30	2294
13	32	2254
14	33	2189
15	36	2215
16	38	2213
17	40	2213
18	42	2198
19	43	2129
20	45	2119
21	46	2053
22	48	2046
23	50	2057
24	52	2058
25	54	2047
26	56	2039
27	57	2007
28	59	1986
29	62	2007
30	64	2006
31	65	1995
32	68	1996
33	70	1993
34	72	1993
35	74	2000
36	77	2006
37	79	2007
38	81	1999
39	82	1988
40	85	1998
41	87	2006
42	90	2007
43	92	2002
44	94	1998
45	96	2003
46	98	2003
47	101	2014
48	103	1999
49	105	2005
50	107	2004
51	110	2005
52	112	2003
53	114	2004
54	116	2006
55	118	2004
56	120	2000
57	122	1997
58	125	1997
59	127	2001
60	129	1999
61	148	2239
62	150	2235
63	152	2226
64	154	2221
65	155	2205
66	158	2206
67	160	2197
68	162	2192
69	164	2186
70	166	2179
71	169	2183
72	171	2177
73	173	2170
74	175	2163
75	177	2155
76	179	2148
77	181	2146
78	183	2139
79	185	2136
80	187	2129
81	189	2122
82	191	2113
83	193	2111
84	198	2132
85	200	2126
86	202	2120
87	204	2114
88	205	2107
89	208	2112
90	211	2108
91	213	2103
92	215	2099
93	216	2088
94	218	2084
95	220	2076
96	222	2075
97	225	2071
98	227	2067
99	228	2060
100	230	2055
101	233	2059
102	235	2052
103	237	2042
104	239	2037
105	240	2032
106	242	2021
107	244	2016
108	246	2013
109	248	2009
110	250	2007
111	252	2004
112	253	1992
113	255	1987
114	259	1995
115	261	1991
116	263	1989
117	265	1984
118	267	1982
119	270	1982
120	272	1983
121	275	1980
122	277	1976
123	279	1972
124	281	1970
125	282	1962
126	285	1963
127	287	1960
128	289	1957
129	292	1954
130	292	1943
131	294	1939
132	297	1937
133	299	1935
134	301	1932
135	303	1928
136	305	1923
137	307	1918
138	310	1921
139	312	1919
140	314	1915
141	316	1911
142	318	1907
143	320	1903
144	321	1897
145	324	1895
146	326	1891
147	328	1890
148	329	1882
149	331	1879
150	333	1876
151	334	1868
152	337	1866
153	339	1864
154	341	1860
155	343	1856
